Day,Date,Ad Spend (INR),Impressions,Clicks,CTR (%),CPC (INR),WhatsApp Chats/Leads,Website Initiated Checkouts,Purchases,Revenue (INR),Cumulative Sales,Daily ROAS,Cumulative CPA (INR),Action Taken / Notes
Day 01,2026-08-17,0,0,0,0.00,0.00,0,0,0,0,0,0.00,0.00,Campaign Launched: 3 Ad Creatives (Ad 1 Reel + Ad 2 Reel + Carousel)
Day 02,2026-08-18,0,0,0,0.00,0.00,0,0,0,0,0,0.00,0.00,
Day 03,2026-08-19,0,0,0,0.00,0.00,0,0,0,0,0,0.00,0.00,
Day 04,2026-08-20,0,0,0,0.00,0.00,0,0,0,0,0,0.00,0.00,
Day 05,2026-08-21,0,0,0,0.00,0.00,0,0,0,0,0,0.00,0.00,
Day 06,2026-08-22,0,0,0,0.00,0.00,0,0,0,0,0,0.00,0.00,
Day 07,2026-08-23,0,0,0,0.00,0.00,0,0,0,0,0,0.00,0.00,Week 1 Review: Turn off losers double down on winning creative
Day 08,2026-08-24,0,0,0,0.00,0.00,0,0,0,0,0,0.00,0.00,Launch Retargeting Ad Set (Website Visitors & Video Viewers)
Day 09,2026-08-25,0,0,0,0.00,0.00,0,0,0,0,0,0.00,0.00,
Day 10,2026-08-26,0,0,0,0.00,0.00,0,0,0,0,0,0.00,0.00,
Day 11,2026-08-27,0,0,0,0.00,0.00,0,0,0,0,0,0.00,0.00,
Day 12,2026-08-28,0,0,0,0.00,0.00,0,0,0,0,0,0.00,0.00,
Day 13,2026-08-29,0,0,0,0.00,0.00,0,0,0,0,0,0.00,0.00,
Day 14,2026-08-30,0,0,0,0.00,0.00,0,0,0,0,0,0.00,0.00,Week 2 Review: Check WhatsApp closing rate & Razorpay drop-offs
Day 15,2026-08-31,0,0,0,0.00,0.00,0,0,0,0,0,0.00,0.00,
Day 16,2026-09-01,0,0,0,0.00,0.00,0,0,0,0,0,0.00,0.00,
Day 17,2026-09-02,0,0,0,0.00,0.00,0,0,0,0,0,0.00,0.00,
Day 18,2026-09-03,0,0,0,0.00,0.00,0,0,0,0,0,0.00,0.00,
Day 19,2026-09-04,0,0,0,0.00,0.00,0,0,0,0,0,0.00,0.00,
Day 20,2026-09-05,0,0,0,0.00,0.00,0,0,0,0,0,0.00,0.00,Week 3 Review: Prepare Scarcity / Price-Bump retargeting
Day 21,2026-09-06,0,0,0,0.00,0.00,0,0,0,0,0,0.00,0.00,Phase 3 Aggressive Close: Launch Urgency Offer & Follow-ups
Day 22,2026-09-07,0,0,0,0.00,0.00,0,0,0,0,0,0.00,0.00,
Day 23,2026-09-08,0,0,0,0.00,0.00,0,0,0,0,0,0.00,0.00,
Day 24,2026-09-09,0,0,0,0.00,0.00,0,0,0,0,0,0.00,0.00,
Day 25,2026-09-10,0,0,0,0.00,0.00,0,0,0,0,0,0.00,0.00,
Day 26,2026-09-11,0,0,0,0.00,0.00,0,0,0,0,0,0.00,0.00,
Day 27,2026-09-12,0,0,0,0.00,0.00,0,0,0,0,0,0.00,0.00,
Day 28,2026-09-13,0,0,0,0.00,0.00,0,0,0,0,0,0.00,0.00,
Day 29,2026-09-14,0,0,0,0.00,0.00,0,0,0,0,0,0.00,0.00,Final 48-Hour Sprint
Day 30,2026-09-15,0,0,0,0.00,0.00,0,0,0,0,0,0.00,0.00,Campaign wrap-up: 50+ Sales Milestone Evaluation
